Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC22 Production from HFC23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems - Offshore Production,Petroleum and Natural Gas Systems - Processing,Petroleum and Natural Gas Systems - Transmission/Compression,Petroleum and Natural Gas Systems - Underground Storage,Petroleum and Natural Gas Systems - LNG Storage,Petroleum and Natural Gas Systems - LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,CO2 used for NH3 / Lime?,Supplier of CO2?,CEMS?
1004377,1.10E+11,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.3,-96.54,562212,HH,Waste,314493.75,,314493.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314493.75,,,,N,N,N
1010040,1.10E+11,15-18565/15-18662,Hazard,KY,40701,1021 Tori Drive,PERRY COUNTY,37.27,-83.24,212112,FF,Other,112348.75,,112348.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112348.75,,,,,,N,N,N
1000112,1.10E+11,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74,221112,"C,D",Power Plants,46081.78,46035.2,21.25,25.33,,,,,,,,,,163.3,45918.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003742,1.10E+11,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.83,-87.92,562212,"C,HH",Waste,7750.748,319.2,7431.25,0.298,,,,,,,,,,319.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7431,,,,N,N,N
1003188,1.10E+11,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.67,-99,326113,"C,N",Minerals,28243.244,28214.2,13.25,15.794,,,,,,,,,,28117.044,,,,,,,,,126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005043,1.10E+11,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.95,-93,541715,C,Other,82787.508,82686.6,42.5,58.408,,,,,,,,,,82787.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003739,1.10E+11,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION COUNTY,33.97,-87.9,326113,"C,N",Minerals,31129.936,31098.7,14.25,16.986,,,,,,,,,,30441.336,,,,,,,,,688.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007698,1.10E+11,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON COUNTY,44.95,-89.64,212313,C,Other,41219.744,41177,19.5,23.244,,,,,,,,,,41219.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004206,1.10E+11,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.64,-87.04,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers",45773.58156,43951.6,20.75,25.032,74,,,,,,2.19956,1700,,43997.382,,,,,,,,1776.19956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006665,1.10E+11,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,41.76,-90.28,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers",687525.6494,31109.2,14.5,17.88,10036.592,589560.974,1076.16,1050.92,43354.69,4667.6034,2.53,6634.6,,31141.58,,,,,,,,656384.0694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
